index,left,right,player_state,difficulty_of_choices,answer,round,set
127,+61,x7,9,7,left,2-4,7
128,x7,+28,6,8,left,2-4,8
129,x2,+12,3,9,right,2-4,9
130,+55,x6,9,10,left,2-4,10
131,x7,+47,6,11,right,2-4,11
132,+27,x6,3,12,left,2-4,12
133,x3,+5,9,13,left,2-4,13
134,x7,+22,6,14,left,2-4,14
135,x7,+33,3,15,right,2-4,15
136,+7,x7,1,1,left,2-5,1
137,x4,+23,7,2,right,2-5,2
138,x7,+21,4,3,left,2-5,3
139,+7,x4,1,4,left,2-5,4
140,+16,x4,7,5,right,2-5,5
141,x4,+18,4,6,right,2-5,6
142,x6,+12,1,7,right,2-5,7
143,x5,+36,7,8,right,2-5,8
144,+3,x4,4,9,right,2-5,9
145,x8,+17,1,10,right,2-5,10
146,x5,+39,7,11,right,2-5,11
147,x2,+16,4,12,right,2-5,12
148,+15,x3,1,13,left,2-5,13
149,+14,x1,7,14,left,2-5,14
150,x4,+27,4,15,right,2-5,15
151,x8,+13,2,1,left,3-1,1
152,x2,+10,8,2,right,3-1,2
153,+2,x2,5,3,right,3-1,3
154,+2,x4,2,4,right,3-1,4
155,x8,+51,8,5,left,3-1,5
156,x8,+41,5,6,right,3-1,6
157,x7,+19,2,7,right,3-1,7
158,x1,+8,8,8,right,3-1,8
159,x2,+14,5,9,right,3-1,9
160,+18,x5,2,10,left,3-1,10
161,x9,+75,8,11,right,3-1,11
162,+22,x3,5,12,left,3-1,12
163,x9,+29,2,13,right,3-1,13
164,x3,+2,8,14,left,3-1,14
165,+40,x6,5,15,left,3-1,15
166,+7,x3,3,1,left,3-2,1
167,x5,+34,9,2,left,3-2,2
168,+21,x5,6,3,right,3-2,3
169,+5,x4,3,4,right,3-2,4
170,+14,x2,9,5,left,3-2,5
171,x6,+24,6,6,left,3-2,6
172,+19,x5,3,7,left,3-2,7
173,x7,+62,9,8,right,3-2,8
174,x7,+27,6,9,left,3-2,9
175,+31,x8,3,10,left,3-2,10
176,+65,x7,9,11,left,3-2,11
177,+18,x2,6,12,left,3-2,12
178,+16,x2,3,13,left,3-2,13
179,+23,x2,9,14,left,3-2,14
180,x3,+27,6,15,right,3-2,15
181,+11,x4,4,1,right,3-3,1
182,x6,+7,1,2,right,3-3,2
183,x1,+3,7,3,right,3-3,3
184,+8,x2,4,4,left,3-3,4
185,+6,x2,1,5,left,3-3,5
186,x3,+20,7,6,right,3-3,6
187,+7,x1,4,7,left,3-3,7
188,x5,+12,1,8,right,3-3,8
189,+33,x7,7,9,right,3-3,9
190,+10,x1,4,10,left,3-3,10
191,x1,+11,1,11,right,3-3,11
192,+61,x8,7,12,left,3-3,12
193,x2,+17,4,13,right,3-3,13
194,+15,x2,1,14,left,3-3,14
195,x6,+20,7,15,left,3-3,15
196,+34,x8,5,1,right,3-4,1
197,+2,x3,2,2,right,3-4,2
198,x6,+43,8,3,right,3-4,3
199,+16,x5,5,4,right,3-4,4
200,x4,+11,2,5,right,3-4,5
201,x4,+18,8,6,left,3-4,6
202,+32,x6,5,7,left,3-4,7
203,x4,+14,2,8,right,3-4,8
204,+49,x6,8,9,left,3-4,9
205,x1,+10,5,10,right,3-4,10
206,x3,+15,2,11,right,3-4,11
207,x9,+76,8,12,right,3-4,12
208,x9,+27,5,13,left,3-4,13
209,+16,x2,2,14,left,3-4,14
210,+55,x6,8,15,left,3-4,15
211,+43,x8,6,1,left,3-5,1
212,+2,x1,3,2,left,3-5,2
213,x1,+3,9,3,right,3-5,3
214,x6,+26,6,4,left,3-5,4
215,x9,+29,3,5,right,3-5,5
216,+15,x2,9,6,left,3-5,6
217,x9,+41,6,7,left,3-5,7
218,x9,+32,3,8,right,3-5,8
219,x8,+72,9,9,right,3-5,9
220,+26,x7,6,10,right,3-5,10
221,x5,+1,3,11,left,3-5,11
222,x3,+30,9,12,right,3-5,12
223,+61,x9,6,13,left,3-5,13
224,+17,x2,3,14,left,3-5,14
225,+51,x5,9,15,left,3-5,15
